tag	class	mesh	cnt_tex1	tex1[0]	tex1[1]	tex1[2]	tex1[3]	tex1[4]	cnt_tex2	tex1[0]	tex1[1]	cnt_dtab1	dtab1[0]	dtab1[1]	dtab1[2]	dtab1[3]	dtab1[4]	dtab1[5]	dtab1[6]	dtab1[7]	dtab1[8]	dtab1[9]	dtab1[10]	dtab1[11]	dtab1[12]	dtab1[13]	dtab1[14]	dtab1[15]	dtab1[16]	dtab1[17]	dtab1[18]	dtab1[19]	dtab1[20]	dtab1[21]	dtab1[22]	dtab1[23]	dtab1[24]	dtab1[25]	npc_speed	unk0_cnt	unk0_tab	cnt_snd1	snd1[0]	snd1[1]	snd1[2]	cnt_snd2	snd2[0]	snd2[1]	snd2[2]	snd2[3]	snd2[4]	cnt_snd3	snd3[0]	snd3[1]	snd3[2]	unk1_cnt	unk1_tab[0]	unk1_tab[1]	unk1_tab[2]	unk1_tab[3]	unk1_tab[4]	effect	UNK_2	sound_rad	sound_vol	sound_rnd	quest_be	class_lim_?
20011	LineageMonster.orc_archer	LineageMonsters.orc_archer_m00	2	LineageMonstersTex.orc_archer_t00	LineageMonstersTex.orc_archer_t01				0			8	4416	6	50000	20011	50001	20011	50002	20011																			1.00000000	0		3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	3	MonSound.Hit_normal_3	ItemSound.armor_leather_1	MonSound.Hit_Normal_10			3	MonSound.orc_archer_dmg_1	MonSound.orc_archer_dmg_2	MonSound.orc_archer_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20012	LineageMonster.werewolf	LineageMonsters.werewolf_m00	2	LineageMonstersTex.werewolf_t00	LineageMonstersTex.werewolf_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	50000	20012	50001	20012	50002	20012											1.00000000	0		3	ItemSound.sword_big_9	ItemSound.spear_2	ItemSound.sword_mid_9	4	MonSound.Hit_Normal_11	MonSound.Hit_Metal_1	MonSound.Hit_Metal_Clang_2	MonSound.Hit_normal_12		3	MonSound.werewolf_dmg_1	MonSound.werewolf_dmg_2	MonSound.werewolf_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20013	LineageMonster.dryad	LineageMonsters.dryad_m00	2	LineageMonstersTex.dryad_t00	LineageMonstersTex.dryad_t01				0			20	4416	13	4410	10	4411	10	4412	12	4413	12	4279	1	4277	5	50000	20013	50001	20013	50002	20013							1.00000000	0		1				4	ItemSound.armor_leather_2	MonSound.Hit_Wet_3	MonSound.Hit_Normal_8	MonSound.Hit_Wood_4		3	MonSound.dryad_dmg_1	MonSound.dryad_dmg_2	MonSound.dryad_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20014	LineageMonster.virud_lizardman_warrior	LineageMonsters.virud_lizardman_warrior_m00	2	LineageMonstersTex.virud_lizardman_warrior_t00	LineageMonstersTex.virud_lizardman_warrior_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	50000	20014	50001	20014	50002	20014											1.00000000	0		3	ItemSound.spear_3	ItemSound.sword_great_2	ItemSound.hammer_2	4	ItemSound.armor_metal_alt_2	MonSound.Hit_Shell_1	ItemSound.shield_steel_3	MonSound.Hit_Wet_5		3	MonSound.v_lizard_warrior_dmg_1	MonSound.v_lizard_warrior_dmg_2	MonSound.v_lizard_warrior_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20015	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			24	4416	1	4410	12	4411	12	4412	10	4413	18	4275	2	4278	1	4071	5	4284	5	50000	20015	50001	20015	50002	20015			1.00000000	0		1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20016	LineageMonster.stone_golem	LineageMonsters.stone_golem_m00	2	LineageMonstersTex.stone_golem_t00	LineageMonstersTex.stone_golem_t01				0			18	4416	2	4413	18	4444	2	4273	3	4274	1	4284	5	50000	20016	50001	20016	50002	20016									1.00000000	0		1				5	MonSound.Hit_Stone_1	MonSound.Hit_Stone_2	MonSound.Hit_Shell_4	MonSound.Hit_Normal_1	MonSound.Hit_Stone_3	3	MonSound.stone_golem_dmg_1	MonSound.stone_golem_dmg_2	MonSound.stone_golem_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20017	LineageMonster.orc_fighter	LineageMonsters.orc_fighter_m00	2	LineageMonstersTex.orc_fighter_t00	LineageMonstersTex.orc_fighter_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	50000	20017	50001	20017	50002	20017											1.00000000	0		3	ItemSound.sword_great_2	ItemSound.sword_big_5	ItemSound.spear_4	4	MonSound.Hit_Wet_4	MonSound.Hit_Shell_1	MonSound.Hit_Normal_10	MonSound.Hit_Metal_clang_10		3	MonSound.orc_fighter_dmg_1	MonSound.orc_fighter_dmg_2	MonSound.orc_fighter_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20018	LineageMonster.walking_fungus	LineageMonsters.walking_fungus_m00	1	LineageMonstersTex.walking_fungus_t00					0			16	4416	5	4410	12	4411	12	4412	10	4413	10	4279	1	4277	5	50002	20018											1.00000000	0		1				3	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_5			3	MonSound.walking_fungus_dmg_1	MonSound.walking_fungus_dmg_2	MonSound.walking_fungus_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20019	LineageMonster.dryad	LineageMonsters.dryad_m00	2	LineageMonstersTex.dryad_t00	LineageMonstersTex.dryad_t01				0			20	4416	13	4410	10	4411	10	4412	12	4413	12	4279	1	4277	5	50000	20019	50001	20019	50002	20019							1.00000000	0		1				4	ItemSound.armor_leather_2	MonSound.Hit_Wet_3	MonSound.Hit_Normal_8	MonSound.Hit_Wood_4		3	MonSound.mandragora_b_dmg_1	MonSound.mandragora_b_dmg_2	MonSound.mandragora_b_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20020	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			24	4416	1	4410	10	4411	10	4412	12	4413	19	4275	2	4278	1	4071	5	4284	5	50000	20020	50001	20020	50002	20020			1.00000000	0		1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20021	LineageMonster.grizzly	LineageMonsters.grizzly_m00	1	LineageMonstersTex.grizzly_t00					0			16	4416	4	4410	12	4411	12	4412	10	4413	10	50000	20021	50001	20021	50002	20021											1.00000000	0		1				4	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Wet_3	MonSound.Hit_Bone_5		3	MonSound.grizzly_dmg_1	MonSound.grizzly_dmg_2	MonSound.grizzly_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20022	LineageMonster.skeleton	LineageMonsters.skeleton_m00	2	LineageMonstersTex.skeleton_t00	LineageMonstersTex.skeleton_t01				0			22	4416	1	4410	12	4411	12	4412	10	4413	10	4275	2	4278	1	4274	1	50000	20022	50001	20022	50002	20022					1.00000000	0		3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	5	MonSound.Hit_bone_1	MonSound.Hit_Bone_4	MonSound.Hit_bone_7	MonSound.Hit_Bone_8	ItemSound.Armor_bone_3	3	MonSound.skeleton_dmg_1	MonSound.skeleton_dmg_2	MonSound.skeleton_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20023	LineageMonster.onyx_beast	LineageMonsters.onyx_beast_m00	1	LineageMonstersTex.onyx_beast_t00					0			16	4416	3	4410	12	4411	12	4412	10	4413	10	50000	20023	50001	20023	50002	20023											1.00000000	0		1				4	MonSound.Hit_Soul_8	MonSound.Hit_Metal_17	MonSound.Hit_normal_9	MonSound.Hit_Stone_3		3	MonSound.onyx_beast_dmg_1	MonSound.onyx_beast_dmg_2	MonSound.onyx_beast_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20024	LineageMonster.virud_lizardman_warrior	LineageMonsters.virud_lizardman_warrior_m00	2	LineageMonstersTex.virud_lizardman_warrior_t00	LineageMonstersTex.virud_lizardman_warrior_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	50000	20024	50001	20024	50002	20024											1.00000000	0		3	ItemSound.hammer_1	ItemSound.sword_big_2	ItemSound.sword_mid_9	4	ItemSound.armor_metal_alt_2	MonSound.Hit_Shell_1	ItemSound.shield_steel_3	MonSound.Hit_Wet_5		3	MonSound.v_lizard_warrior_dmg_1	MonSound.v_lizard_warrior_dmg_2	MonSound.v_lizard_warrior_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20025	LineageMonster.dark_horror	LineageMonsters.dark_horror_m00	1	LineageMonstersTex.dark_horror_t00					0			12	4416	1	4275	2	4278	1	50000	20025	50001	20025	50002	20025															1.00000000	0		1				4	MonSound.Hit_Soul_1	MonSound.Hit_Soul_2	MonSound.Hit_Soul_3	MonSound.Hit_Soul_4		3	MonSound.dark_horror_dmg_1	MonSound.dark_horror_dmg_2	MonSound.dark_horror_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20026	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			24	4416	1	4410	12	4411	12	4412	10	4413	18	4275	2	4278	1	4071	5	4284	5	50000	20026	50001	20026	50002	20026			1.00000000	0		1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20027	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	50000	20027	50001	20027	50002	20027											1.00000000	0		3	ItemSound.sword_big_9	ItemSound.spear_2	ItemSound.sword_mid_9	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_scout_dmg_1	MonSound.v_lizard_scout_dmg_2	MonSound.v_lizard_scout_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20028	LineageMonster.giant_spider	LineageMonsters.giant_spider_m00	2	LineageMonstersTex.giant_spider_t00	LineageMonstersTex.giant_spider_t01				0			16	4416	12	4410	12	4411	12	4412	10	4413	10	50000	20028	50001	20028	50002	20028											1.00000000	0		1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.g_spider_dmg_1	MonSound.g_spider_dmg_2	MonSound.g_spider_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20029	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			24	4416	1	4410	10	4411	10	4412	12	4413	19	4275	2	4278	1	4071	5	4284	5	50000	20029	50001	20029	50002	20029			1.00000000	0		1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20030	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			8	4416	6	50000	20030	50001	20030	50002	20030																			1.00000000	0		3	ItemSound.sword_big_2	ItemSound.sword_great_2	ItemSound.spear_3	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_dmg_1	MonSound.v_lizard_dmg_2	MonSound.v_lizard_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20031	LineageMonster.onyx_beast	LineageMonsters.onyx_beast_m00	1	LineageMonstersTex.onyx_beast_t00					0			16	4416	3	4410	12	4411	12	4412	10	4413	10	50000	20031	50001	20031	50002	20031											1.00000000	0		1				4	MonSound.Hit_Soul_8	MonSound.Hit_Metal_17	MonSound.Hit_normal_9	MonSound.Hit_Stone_3		3	MonSound.onyx_beast_dmg_1	MonSound.onyx_beast_dmg_2	MonSound.onyx_beast_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20032	LineageMonster.giant_spider	LineageMonsters.giant_spider_m00	2	LineageMonstersTex.giant_spider_t00	LineageMonstersTex.giant_spider_t01				0			18	4416	12	4410	12	4411	12	4412	10	4413	10	4279	1	50000	20032	50001	20032	50002	20032									1.00000000	0		1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.g_spider_dmg_1	MonSound.g_spider_dmg_2	MonSound.g_spider_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20033	LineageMonster.dark_horror	LineageMonsters.dark_horror_m00	1	LineageMonstersTex.dark_horror_t00					0			20	4416	1	4410	12	4411	12	4412	10	4413	10	4275	2	4278	1	50000	20033	50001	20033	50002	20033							1.00000000	0		1				4	MonSound.Hit_Soul_1	MonSound.Hit_Soul_2	MonSound.Hit_Soul_3	MonSound.Hit_Soul_4		3	MonSound.dark_horror_dmg_1	MonSound.dark_horror_dmg_2	MonSound.dark_horror_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20034	LineageMonster.giant_spider	LineageMonsters.giant_spider_m00	2	LineageMonstersTex.giant_spider_t00	LineageMonstersTex.giant_spider_t01				0			18	4416	12	4410	12	4411	12	4412	10	4413	10	4279	1	50000	20034	50001	20034	50002	20034									1.00000000	0		1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.g_spider_dmg_1	MonSound.g_spider_dmg_2	MonSound.g_spider_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20035	LineageMonster.skeleton	LineageMonsters.skeleton_m00	2	LineageMonstersTex.skeleton_t00	LineageMonstersTex.skeleton_t01				0			22	4416	1	4410	12	4411	12	4412	10	4413	10	4275	2	4278	1	4274	1	50000	20035	50001	20035	50002	20035					1.00000000	0		3	ItemSound.hammer_1	ItemSound.sword_big_2	ItemSound.sword_mid_9	5	MonSound.Hit_bone_1	MonSound.Hit_Bone_4	MonSound.Hit_bone_7	MonSound.Hit_Bone_8	ItemSound.Armor_bone_3	3	MonSound.skeleton_dmg_1	MonSound.skeleton_dmg_2	MonSound.skeleton_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20036	LineageMonster.sylph	LineageMonsters.sylph_m00	2	LineageMonstersTex.sylph_t00	LineageMonstersTex.sylph_t01				0			20	4416	7	4410	12	4411	12	4412	10	4413	10	4011	5	4282	1	50000	20036	50001	20036	50002	20036							1.00000000	0		1				3	MonSound.Hit_Soul_5	MonSound.Hit_Soul_6	MonSound.Hit_Soul_8			3	MonSound.sylph_dmg_1	MonSound.sylph_dmg_2	MonSound.sylph_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20037	LineageMonster.mana_vampire	LineageMonsters.mana_vampire_m00	2	LineageMonstersTex.mana_vampire_t00	LineageMonstersTex.mana_vampire_t01				0			14	4416	2	4408	10	4410	10	4411	10	4412	12	4413	12	50002	20037													1.00000000	0		1				4	MonSound.Hit_Bone_8	MonSound.Hit_Wet_5	MonSound.Hit_Wet_4	MonSound.Hit_Normal_10		3	MonSound.m_vampire_dmg_1	MonSound.m_vampire_dmg_2	MonSound.m_vampire_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20038	LineageMonster.poison_spider	LineageMonsters.poison_spider_m00	2	LineageMonstersTex.poison_spider_t00	LineageMonstersTex.poison_spider_t01				0			18	4416	12	4410	12	4411	12	4412	10	4413	10	4279	1	50000	20038	50001	20038	50002	20038									1.00000000	0		1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.p_spider_dmg_1	MonSound.p_spider_dmg_2	MonSound.p_spider_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20039	LineageMonster.wererat	LineageMonsters.wererat_m00	2	LineageMonstersTex.wererat_t00	LineageMonstersTex.wererat_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	50000	20039	50001	20039	50002	20039											1.00000000	0		3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Bone_2	ItemSound.shield_steel_2	ItemSound.armor_leather_5	ItemSound.armor_metal_alt_1		3	MonSound.wererat_dmg_1	MonSound.wererat_dmg_2	MonSound.wererat_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20040	LineageMonster.wererat	LineageMonsters.wererat_m00	2	LineageMonstersTex.wererat_t00	LineageMonstersTex.wererat_t01				0			16	4416	6	4410	12	4411	12	4412	10	4413	10	50000	20040	50001	20040	50002	20040											1.00000000	0		3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	4	MonSound.Hit_Bone_2	ItemSound.shield_steel_2	ItemSound.armor_leather_5	ItemSound.armor_metal_alt_1		3	MonSound.wererat_dmg_1	MonSound.wererat_dmg_2	MonSound.wererat_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20041	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			24	4416	1	4410	10	4411	10	4412	12	4413	19	4275	2	4278	1	4071	5	4284	5	50000	20041	50001	20041	50002	20041			1.00000000	0		1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20042	LineageMonster.skeleton	LineageMonsters.skeleton_m00	2	LineageMonstersTex.skeleton_t00	LineageMonstersTex.skeleton_t01				0			22	4416	1	4410	12	4411	12	4412	10	4413	10	4275	2	4278	1	4274	1	50000	20042	50001	20042	50002	20042					1.00000000	0		3	ItemSound.spear_2	ItemSound.sword_mid_9	ItemSound.sword_mid_3	5	MonSound.Hit_bone_1	MonSound.Hit_Bone_4	MonSound.Hit_bone_7	MonSound.Hit_Bone_8	ItemSound.Armor_bone_3	3	MonSound.skeleton_dmg_1	MonSound.skeleton_dmg_2	MonSound.skeleton_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20043	LineageMonster.poison_spider	LineageMonsters.poison_spider_m00	2	LineageMonstersTex.poison_spider_t00	LineageMonstersTex.poison_spider_t01				0			18	4416	12	4410	10	4411	10	4412	12	4413	12	4279	1	50000	20043	50001	20043	50002	20043									1.00000000	0		1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.p_spider_dmg_1	MonSound.p_spider_dmg_2	MonSound.p_spider_dmg_3	1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
